,BASE_YEAR,ALSFC_CTPRVN_NM,ALSFC_SIGNGU_NM,SCHUL_TY_NM,SCHUL_NM,OPN_PD,ARBY_COT_CO_VALUE,ALSFC_ADDR,OPER_ITEM_CN,OPER_TIME_CN,SHWERRM_CO,TOILET_CO,LOCKERRM_CO,x,y
0,2017,울산광역시,남구,초등학교,삼신초등학교,20170301~20171231,652㎥ /1개 코트,"울산광역시 남구 돋질로251번길 25, 삼신초등학교 (삼산동)","농구,배구",월요일:17:30~21:30 화요일:18:30~20:30  수요일:19:30~21:30  목요일:17:30~21:30  금요일:17:30~21:30   일요일:15:00~17:00,0,2,0,129.3307495,35.54584239
1,2017,전라북도,완주군,초등학교,삼례초등학교,20170301~20171231,810㎥ /1개 코트,"전라북도 완주군 삼례읍 후정로 30, 삼례초등학교","뉴스포츠**,배구",화요일:18:00~22:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:15:00~18:00  토요일:09:00~13:00,0,0,0,127.0688484,35.91076844
2,2017,전라북도,순창군,초등학교,동계초등학교,20170301~20171231,652.4㎥ /4개 코트,"전라북도 순창군 동계면 동계로 35, 동계초등학교","배드민턴,탁구",월요일:19:00~23:00 화요일:19:00~23:00  수요일:19:00~23:00  목요일:19:00~23:00  금요일:19:00~23:00  토요일:19:00~23:00,1,1,0,127.2400533,35.44079904
3,2017,전라북도,순창군,초등학교,구림초등학교,20170301~20171231,874㎥ /3개 코트,"전라북도 순창군 구림면 방화로 6, 구림초등학교","배드민턴,탁구",월요일:19:00~23:00 화요일:19:00~23:00  수요일:19:00~23:00  목요일:19:00~23:00  금요일:19:00~23:00  토요일:19:00~23:00,1,1,0,127.100401,35.45297235
4,2017,울산광역시,북구,초등학교,상안초등학교,20170301~20171231,570㎥ /1개 코트,"울산광역시 북구 천곡남로 59, 상안초등학교 (천곡동)","농구,배구,배드민턴",월요일:18:00~22:00 화요일:19:00~21:00  수요일:18:00~22:00  목요일:18:00~22:00  금요일:19:00~21:00  토요일:18:00~20:00,0,2,1,129.3340704,35.63419657
5,2017,경상남도,창녕군,중학교,남지중학교,20170301~20171231,788.5㎥ /3개 코트,경상남도 창녕군 남지읍 낙동로 411-5,"기타종목,배드민턴",월요일:15:00~22:00 화요일:15:00~22:00  수요일:15:00~22:00  목요일:15:00~22:00  금요일:15:00~22:00  토요일:09:00~14:00,0,2,1,128.4690005,35.38919794
6,2017,대구광역시,달성군,초등학교,현풍초등학교,20170101~20171231,957㎥ /4개 코트,"대구광역시 달성군 현풍면 비슬로134길 167-6, 현풍초등학교",배드민턴,월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:00:00~00:00,2,2,2,128.4489959,35.69809567
7,2017,대구광역시,달성군,초등학교,화동초등학교,20170101~20171231,549㎥ /3개 코트,"대구광역시 달성군 화원읍 성암로 38, 화동초등학교",배드민턴,월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:14:00~17:00  일요일:00:00~00:00,0,2,0,128.5096929,35.79954584
8,2017,경상북도,의성군,고등학교,의성고등학교,20170301~20171231,1876㎥ /1개 코트,"경상북도 의성군 의성읍 군청길 57, 의성고등학교","풋살,농구,배드민턴,탁구",월요일:13:00~21:00 화요일:13:00~21:00  수요일:17:00~21:00  목요일:13:00~21:00  금요일:13:00~21:00  토요일:09:00~13:00  일요일:00:00~00:00,1,2,1,128.7002102,36.35335896
9,2017,경상북도,상주시,초등학교,화령초등학교,20170301~20171231,928㎥ /7개 코트,경상북도 상주시 화서면 화령로 57,"배드민턴,탁구",월요일:19:00~22:00 화요일:19:00~22:00  수요일:19:00~22:00  목요일:19:00~22:00  금요일:19:00~22:00  토요일:19:00~22:00  일요일:00:00~00:00,1,1,1,127.951894,36.4466099
