,FCLTY_NM,FCLTY_TY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,PROGRM_TY_NM,PROGRM_NM,PROGRM_TRGET_NM,PROGRM_BEGIN_DE,PROGRM_END_DE,PROGRM_ESTBL_WKDAY_NM,PROGRM_ESTBL_TIZN_VALUE,PROGRM_RCRIT_NMPR_CO,PROGRM_PRC,PROGRM_PRC_TY_NM,HMPG_URL,x,y
0,강남스포츠문화센터골프연습장,골프연습장,1100000000,서울특별시,1168000000,강남구,강남구 수서동718,골프,오후골프07,성인,20241001,20241031,월수금,15:00~15:50,8,80000,,https://life.gangnam.go.kr,127.1053399,37.48897316
1,강남스포츠문화센터수영장,수영장,1100000000,서울특별시,1168000000,강남구,서울특별시 강남구 밤고개로1길 52 (수서동),에어로빅,아쿠아로빅E,성인,20241101,20241130,월수금,14:30~15:20,0,50000,,https://life.gangnam.go.kr,127.1052808,37.48900105
2,강북웰빙스포츠센터,생활체육관,1100000000,서울특별시,1130500000,강북구,서울특별시 강북구 오현로31길 51 (번동),축구(풋살),풋살(초등1~3)A 16시 [화목],초등1~3학년,20241101,20241130,화목,16:00~16:50,0,35000,,https://gbcmc.or.kr,127.0377894,37.63045275
3,개운산스포츠센터,생활체육관,1100000000,서울특별시,1129000000,성북구,서울특별시 성북구 북악산로 949-60 (종암동),수영,[NEW토수영]초등학생(10시),초등,20241201,20241231,토,10:00~10:50,6,50000,,https://www.gongdan.go.kr,127.0262388,37.59686703
4,개웅산생활체육관,생활체육관,1100000000,서울특별시,1153000000,구로구,서울특별시 구로구 개봉로3길 108-20 (개봉동),필라테스,21소도구필라테스B,성인남녀,20241201,20241231,화목,21:00~21:50,20,30000,,https://www.gurosisul.or.kr,126.8497244,37.48530673
5,거제국민체육센터,구기체육관,4800000000,경상남도,4831000000,거제시,경상남도 거제시 거제면 거제남서로 3485-17,헬스,헬스,성인/중고생,20241201,20241231,월화수목금토,06:00~22:00,0,50000,성인: 청소년:38000,https://www.yj-sports.or.kr,128.5815338,34.8518556
6,경주국민체육센터,생활체육관,4700000000,경상북도,4713000000,경주시,경상북도 경주시 유림로5번길 85-15 (황성동),종합체육시설,초등학생반 16시 중급,초등학생,20241201,20241231,월화수목금,16:10~17:00,25,41000,,https://sports.gyeongju.go.kr,129.2170901,35.8790444
7,계남근린공원테니스장,간이운동장,1100000000,서울특별시,1147000000,양천구,"서울특별시 양천구 신정로 260 (신정동, 신트리4단지아파트)",테니스,평일A(월목 배상윤)09:30,,20241101,20241130,월목,09:30~10:00,0,220000,,https://www.gurosisul.or.kr,126.8519831,37.51119304
8,고양국민체육센터,생활체육관,4100000000,경기도,4128100000,고양시 덕양구,경기도 고양시 덕양구 호국로 876 (성사동),헬스,헬스 월화수목금토일06:00~22:00,청소년,20241101,20241130,월화수목금토일,06:00~22:00,0,44000,,https://yeyak.gys.or.kr,126.8438504,37.66219613
9,고양어울림누리내 꽃우물수영장,수영장,4100000000,경기도,4128100000,고양시 덕양구,경기도 고양시 덕양구 어울림로 33 (성사동),에어로빅,아쿠아로빅(토)-주말아쿠아로빅A반 토10:00~10:50,성인,20241001,20241031,토,10:00~10:50,0,35000,,https://yeyak.gys.or.kr,126.835368,37.64905648
10,고양체육관,생활체육관,4100000000,경기도,4128700000,고양시 일산서구,경기도 고양시 일산서구 중앙로 1601 (대화동),골프,"골프(화목)-새벽4반(초,중,상급) 화목07:30~08:50",청소년,20241001,20241031,화목,07:30~08:50,0,71500,,https://yeyak.gys.or.kr,126.7420729,37.67638709
11,고천다목적실내체육관,구기체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 오전로 18 (왕곡동),배구,고천 09시 월수금 배구,"성인,청소년",20241101,20241130,월수금,09:00~11:00,0,40000,,https://reserve.uuc.or.kr,126.9823557,37.34790019
12,과천시민회관다목적체육관,생활체육관,4100000000,경기도,4129000000,과천시,경기도 과천시 통영로 5 (중앙동),헬스,PT10회+종일반(토:06~18시),청소년~노인,20241201,20241231,월화수목금토,06:00~22:30,30,409000,,https://www.gcuc.or.kr,126.9891524,37.42819272
13,관문실내체육관,구기체육관,4100000000,경기도,4129000000,과천시,경기도 과천시 중앙로 294 (관문동),헬스,관문헬스(장애인스포츠강좌이용권),,20241201,20241231,월화수목금토,10:00~14:00,5,38220,,https://www.gcuc.or.kr,126.9962948,37.44144729
14,관악구민종합체육센터,생활체육관,1100000000,서울특별시,1162000000,관악구,서울특별시 관악구 낙성대로3길 37 (봉천동),종합체육시설,피아노B(13),"청소년,성인",20241101,20241130,화목,13:00~13:50,0,58000,,https://booking.gwanakgongdan.or.kr,126.9603153,37.47306731
15,관악청소년센터수영장,수영장,1100000000,서울특별시,1162000000,관악구,서울특별시 관악구 신림로23길 17 (신림동),수영,초등수영 토요일 상급 17시,초등~중등,20241001,20241031,토,17:00~17:50,5,15000,,https://booking.gwanakgongdan.or.kr,126.9352433,37.4702439
16,광교웰빙국민체육센터,생활체육관,4100000000,경기도,4111700000,수원시 영통구,경기도 수원시 영통구 웰빙타운로 71 (이의동),종합체육시설,스포츠,,20241001,20241031,월수,21:00-21:50,18,35000,,https://rsv.suwonudc.co.kr,127.0430984,37.30503262
17,광장동 실내배드민턴장,구기체육관,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 천호대로140길 40 (광장동),종합체육시설,주3회강습반(월수금)2부,성인/청소년,20241001,20241031,월수금,09:30~12:00,16,77000,,https://booking.gwangjin.or.kr,127.1001957,37.54442528
18,광주시문화스포츠센터,생활체육관,4100000000,경기도,4161000000,광주시,경기도 광주시 회안대로 891 (송정동),복싱,11시/B(기간)_뮤직복싱2,청소년이상,20241201,20241231,화목,11:00~11:50,30,21000,,https://gjcenter.gjcs.or.kr,127.2548241,37.42690194
19,광진구민체육센터,골프연습장,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 구천면로 14 (광장동),기타종목,영재 종이접기(자격증대비반),15-19년생,20241101,20241130,수,16:00~16:50,0,95000,,https://booking.gwangjin.or.kr,127.106801,37.54600993
20,광진문화예술회관,골프연습장,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 능동로 76 (자양동),골프,토요 골프 15,중고생/성인,20241101,20241130,토,15:00~15:50,0,44000,,https://booking.gwangjin.or.kr,127.070576,37.53757063
21,구로구민체육센터,생활체육관,1100000000,서울특별시,1153000000,구로구,서울특별시 구로구 고척로45길 39 (고척동),통합,17기구필라테스A,성인,20241201,20241231,월수금,17:00~17:50,6,180000,,https://www.gurosisul.or.kr,126.8532759,37.50658124
22,구리국민체육센터,구기체육관,4100000000,경기도,4131000000,구리시,인창동 622-28번지 일원,배드민턴프로그램,06시양지클럽_월정기배드민턴,양지클럽회원,20241201,20241231,월화수목금토일,06:00~08:50,100,15000,클럽월정기_노인[1개월],https://sports.guriuc.or.kr:4433,127.1297923,37.60508111
23,구리시멀티스포츠센터,구기체육관,4100000000,경기도,4131000000,구리시,경기도 구리시 체육관로 137-25 (교문동),종합체육시설,06B(월수금)스쿼시강습(중급),청소년이상,20241001,20241031,월수금,06:00~06:50,4,50000,주3회(경로),https://sports.guriuc.or.kr:4433,127.1351567,37.59616439
24,구리실내배드민턴장,구기체육관,4100000000,경기도,4131000000,구리시,교문동 3-2번지 일원,배드민턴,20시하나로클럽_월정기배드민턴,하나로클럽회원,20241001,20241031,월화수목금토일,20:00~22:00,100,25000,클럽월정기_성인[1개월],https://sports.guriuc.or.kr:4433,127.1363275,37.59582931
