FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
(주) 뉴힐링라이프재활운동센터,41,경기,41590,화성시,3180433068,4.15903E+11,경기도 화성시 동탄지성로 181001호 뉴힐링라이프재활운동센터(반송동),127.0726151,37.205253,다사620119
(주) 뉴힐링라이프재활운동센터 대구,27,대구,27290,달서구,535910420,2.72903E+11,대구광역시 달서구 이곡동로 23성서타임스퀘어 7층 703호(이곡동),128.5100132,35.854267,라마911624
(주) 뉴힐링라이프재활운동센터김포,41,경기,41570,김포시,319847698,4.15705E+11,"경기도 김포시 김포한강9로76번길 49,606호(구래동)",126.626586,37.644744,다사229609
금만검도관,52,전북,52210,김제시,635454525,5.22105E+11,전라북도 김제시 도작9길 14금만검도관(신풍동),126.8980745,35.8029579,다마456564
김천시 시설관리공단,47,경북,47150,김천시,544211661,4.71505E+11,경상북도 김천시 운동장길 1김천실내수영장(삼락동) 3층 공단 본부,128.0864924,36.1398039,라마527937
뉴힐링라이프재활운동센터 대전점,30,대전,30170,서구,424879867,3.01704E+11,대전광역시 서구 대덕대로317번길 20선사앤조이빌딩 452- 453호(월평동),127.3784296,36.3613939,다바890182
뉴힐링라이프재활운동센터 용인점,41,경기,41460,용인시,315461619,4.14632E+11,경기도 용인시 기흥구 중부대로 579강남대프라자 4층 405호 뉴힐링라이프재활운동센터(구갈동),127.1269587,37.2704165,다사669191
뉴힐링라이프재활운동센터 인천점,28,인천,28237,부평구,322070101,2.82373E+11,인천광역시 부평구 마장로 1부영빌딩 2층,126.7103187,37.4790337,다사301424
뉴힐링라이프재활운동센터 일산점,41,경기,41280,고양시,319047698,4.12873E+11,"경기도 고양시 일산서구 주화로 88503호(주엽동, 효림빌딩)",126.7585378,37.6705508,다사346637
뉴힐링라이프재활운동센터 천안점,44,충남,44130,천안시,415529867,4.41333E+11,충청남도 천안시 서북구 백석로 118백석신영프라자 602호(백석동),127.1245935,36.8229551,다바665694
더 봄 필라테스,27,대구,27110,중구,537100415,2.71102E+11,대구광역시 중구 중앙대로 412지하1층(남일동),128.59432,35.8699639,라마987642
더우아필라테스,44,충남,44250,계룡시,,4.42503E+11,충청남도 계룡시 엄사면 엄사중앙로 957층 702호,127.2417073,36.2892126,다바768102
모모아동발달센터,28,인천,28185,연수구,328119872,2.81854E+11,인천광역시 연수구 앵고개로264번길 10-113층 모모아동발달센터(동춘동),126.6718754,37.4074823,다사267345
유오에스필라요가,11,서울,11230,동대문구,220661982,1.12303E+11,서울특별시 동대문구 서울시립대로 163웰니스센터 2층 필라테스 룸(전농동),127.0588564,37.583639,다사610538
