,FCLTY_NM,ITEM_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,TEL_NO,COURSE_NM,x,y
0,밸리댄스코리아,댄스(줌바 등),서울,강남구,서울특별시 강남구 선릉로155길 12,비전빌딩 3층 밸리댄스코리아(신사동),,벨리댄스 (3개월등록시 50%할인),127.0388267,37.52559958
1,경무관,합기도,경기,남양주시,경기도 남양주시 평내로29번길 41,메인프라자 6층 604호(평내동),315951001,"합기도(호신술, 낙법, 발차기, 학교체육) 해동검도(검술, 죽도술)",127.2349882,37.64541646
2,리복크로스핏마루,헬스,서울,종로구,서울특별시 종로구 대학로8가길 36,지하1층(동숭동),27473219,크로스핏,127.0024716,37.58248711
3,메디요가(수송점),요가,전북,군산시,전북특별자치도 군산시 동수송안길 31,4층(수송동),634671700,요가,126.7167438,35.96672929
4,닥터정바디홀릭,필라테스,경기,성남시,경기도 성남시 분당구 불정로 379,분당서현프라자 501호 분당서현프라자 501호(서현동),3180160097,체형재활거북목.등굽음필라테스,127.1364144,37.37436187
5,비벨르필라테스,헬스,충남,천안시,충청남도 천안시 서북구 불당25로 142,6층 비벨르필라테스 짐(불당동),415511588,1:1 헬스 PT,127.1076282,36.81380515
6,바른합기도키즈스쿨,합기도,충북,청주시,충청북도 청주시 청원구 율봉로 197,2층(율량동),432144548,바른합기도키즈스쿨,127.4909307,36.66882601
7,민클럽 밀양점,기타종목,경남,밀양시,경상남도 밀양시 백민로4길 24,2층(내이동),,당구,128.7503505,35.49423115
8,아오스파크골프,골프,대구,북구,대구광역시 북구 학정로 571,아오스파크골프(학정동),,파크골프 강좌,128.5669332,35.95530061
9,탑라인요가 천호점,요가,서울,강동구,서울특별시 강동구 올림픽로 660,"302호(천호동, 천호엘크루주상복합)",24880188,"정통요가,플라잉외 15가지",127.1245704,37.54016964
10,히든짐,헬스,대구,북구,대구광역시 북구 매전로 80,3층 301호(태전동),,헬스1개월,128.5468693,35.91286157
11,한숲스포츠센터,수영,경기,군포시,경기도 군포시 산본천로 43-6,(산본동),313962103,주3회강습(초등),126.9281743,37.36067457
12,주식회사 엠제이팀,기타종목,서울,서대문구,서울특별시 서대문구 통일로 375,301호(홍제동),264280012,"축구.농구,인라인,생활체육",126.9492929,37.58355239
13,만청검도관만청주짓수,검도,서울,종로구,서울특별시 종로구 진흥로 490,지하 만청주짓수만청검도관(신영동),,"검도 수업,주짓수 수업",126.9607658,37.6047507
14,용인대석사용체육관,태권도,서울,종로구,서울 종로구 창신동,25-3번지 창연빌딩 3층,27650541,태권도,127.0128282,37.57522451
15,종로태권도아카데미,태권도,서울,종로구,서울특별시 종로구 필운대로 116,2층(신교동),27222001,태권도수련,126.970067,37.58368869
16,엘리트 석사 태권도,태권도,서울,종로구,서울특별시 종로구 낙산길 198,"2단지 상가 3층 1호(창신동, 창신쌍용아파트)",27662658,엘리트석사태권도,127.0110117,37.58039622
17,팀리스펙트,기타종목,경기,광명시,경기도 광명시 금하로527번길 17,3층(소하동),,키즈클래스 일일권,126.8894459,37.45241693
18,이승원 유도관 (구리점),유도,경기,구리시,경기도 구리시 벌말로 186,4층 401호 이승원 유도관 (구리점)(토평동),315537771,이승원 유도관 구리점,127.1505678,37.59286045
19,다온태권도,태권도,부산,동래구,부산광역시 동래구 명장로 66,2층 다온태권도(명장동),515251366,다온태권도,129.1080799,35.20445142
20,아이캔 태권도장,태권도,서울,강서구,서울특별시 강서구 금낭화로23길 25,"방화6단지내상가3층(방화동, 방화6단지아파트)",,교육,126.8112043,37.57813897
21,더썬유도관,유도,경기,화성시,경기도 화성시 효행로 1041,용성빌딩 201호(진안동),,유도,127.0410914,37.2139352
22,마루한 태권도,태권도,대구,북구,대구광역시 북구 칠곡중앙대로118길 20,신대림빌딩 4층 마루한태권도장(읍내동),533223665,태권도,128.5541771,35.94753975
23,찬스아이수영장 상동분원,수영,경남,거제시,경상남도 거제시 거제중앙로 1739,1층 찬스아이 수영장(상동동),556331989,어린이수영(8만원 결제용),128.6309773,34.87470476
24,예본검도관,검도,충남,예산군,충청남도 예산군 예산읍 군청로3길 15-10,예본검도관,413355800,검도(초등/중.고등),126.8456007,36.68359275
25,용인대태권도,태권도,서울,성북구,서울특별시 성북구 보국문로11길 24,396-3번지 2층 용인대태권도장(정릉동),,태권도 수업,127.0087474,37.60883811
26,MTA코리아태권도장,태권도,세종,세종시,세종특별자치시 소담1로 12,지엘플렉스1상가 506~7호(소담동),448682031,태권도,127.3014752,36.48501882
27,무사합기도,합기도,경남,김해시,경상남도 김해시 진영읍 진영로 216-1,3층 무사합기도,,무사합기도,128.7366108,35.30235864
