CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
11,서울,11545,금천구,sbs당구장,262923323,8614,서울특별시 금천구 시흥대로71길 44,3층sbs당구장(시흥동),3,기타종목,126.8994473,37.4549954,장애인강좌,,
11,서울,11350,노원구,굿볼스튜디오 노원점,29385949,1662,서울특별시 노원구 덕릉로 725,3층(중계동),3,기타종목,127.0756239,37.662329,장애인강좌,,
11,서울,11560,영등포구,황룡체육관,,7435,서울특별시 영등포구 대방천로 180,"상가동203호(신길동, 우성2차아파트)",22,태권도,126.9109188,37.4981477,장애인강좌,,
11,서울,11320,도봉구,필라테스온루케테80쌍문점,,1385,서울특별시 도봉구 도당로 7,4층 필라테스온루케테80(쌍문동),79,필라테스,127.0347916,37.6587894,장애인강좌,,
11,서울,11740,강동구,필라테스엠 고덕역점,234271777,5269,서울특별시 강동구 동남로75길 13-15,성은빌딩 4층(명일동),79,필라테스,127.1555201,37.5536302,장애인강좌,,
11,서울,11590,동작구,영아태권도,25973000,7030,서울특별시 동작구 사당로 170,2층 영아태권도(사당동),22,태권도,126.9677289,37.4866404,장애인강좌,,
11,서울,11290,성북구,성북체육관,29151506,2769,서울특별시 성북구 장월로8가길 42,3층(장위동),22,태권도,127.049816,37.6112669,장애인강좌,,
11,서울,11530,구로구,(주)리본필라테스 구로신도림,226338271,8213,서울특별시 구로구 경인로 572,4층 401호(구로동),79,필라테스,126.8811111,37.5033033,장애인강좌,,
11,서울,11500,강서구,(주) 스포니스마곡점,226685988,7801,서울특별시 강서구 마곡중앙6로 11,지하1층 스포니스 마곡점(마곡동),3,기타종목,126.8288424,37.560948,장애인강좌,,
11,서울,11590,동작구,MSF GYM,220397499,6939,서울특별시 동작구 여의대방로 284,지하1층(대방동),22,태권도,126.9253788,37.5118087,장애인강좌,,
